country_id,country_code,country_name,region_id,income_group_id
1,ABW,Aruba,1.0,1.0
2,AFE,Africa Eastern and Southern,,
3,AFG,Afghanistan,2.0,2.0
4,AFW,Africa Western and Central,,
5,AGO,Angola,3.0,3.0
6,ALB,Albania,4.0,4.0
7,AND,Andorra,4.0,1.0
8,ARB,Arab World,,
9,ARE,United Arab Emirates,2.0,1.0
10,ARG,Argentina,1.0,4.0
11,ARM,Armenia,4.0,4.0
12,ASM,American Samoa,5.0,1.0
13,ATG,Antigua and Barbuda,1.0,1.0
14,AUS,Australia,5.0,1.0
15,AUT,Austria,4.0,1.0
16,AZE,Azerbaijan,4.0,4.0
17,BDI,Burundi,3.0,2.0
18,BEL,Belgium,4.0,1.0
19,BEN,Benin,3.0,3.0
20,BFA,Burkina Faso,3.0,2.0
21,BGD,Bangladesh,6.0,3.0
22,BGR,Bulgaria,4.0,1.0
23,BHR,Bahrain,2.0,1.0
24,BHS,"Bahamas, The",1.0,1.0
25,BIH,Bosnia and Herzegovina,4.0,4.0
26,BLR,Belarus,4.0,4.0
27,BLZ,Belize,1.0,4.0
28,BMU,Bermuda,7.0,1.0
29,BOL,Bolivia,1.0,3.0
30,BRA,Brazil,1.0,4.0
31,BRB,Barbados,1.0,1.0
32,BRN,Brunei Darussalam,5.0,1.0
33,BTN,Bhutan,6.0,3.0
34,BWA,Botswana,3.0,4.0
35,CAF,Central African Republic,3.0,2.0
36,CAN,Canada,7.0,1.0
37,CEB,Central Europe and the Baltics,,
38,CHE,Switzerland,4.0,1.0
39,CHI,Channel Islands,4.0,1.0
40,CHL,Chile,1.0,1.0
41,CHN,China,5.0,4.0
42,CIV,Côte d'Ivoire,3.0,3.0
43,CMR,Cameroon,3.0,3.0
44,COD,"Congo, Dem. Rep.",3.0,2.0
45,COG,"Congo, Rep.",3.0,3.0
46,COL,Colombia,1.0,4.0
47,COM,Comoros,3.0,3.0
48,CPV,Cabo Verde,3.0,4.0
49,CRI,Costa Rica,1.0,1.0
50,CSS,Caribbean small states,,
51,CUB,Cuba,1.0,4.0
52,CUW,Curaçao,1.0,1.0
53,CYM,Cayman Islands,1.0,1.0
54,CYP,Cyprus,4.0,1.0
55,CZE,Czechia,4.0,1.0
56,DEU,Germany,4.0,1.0
57,DJI,Djibouti,2.0,3.0
58,DMA,Dominica,1.0,4.0
59,DNK,Denmark,4.0,1.0
60,DOM,Dominican Republic,1.0,4.0
61,DZA,Algeria,2.0,4.0
62,EAP,East Asia & Pacific (excluding high income),,
63,EAR,Early-demographic dividend,,
64,EAS,East Asia & Pacific,,
65,ECA,Europe & Central Asia (excluding high income),,
66,ECS,Europe & Central Asia,,
67,ECU,Ecuador,1.0,4.0
68,EGY,"Egypt, Arab Rep.",2.0,3.0
69,EMU,Euro area,,
70,ERI,Eritrea,3.0,2.0
71,ESP,Spain,4.0,1.0
72,EST,Estonia,4.0,1.0
73,ETH,Ethiopia,3.0,2.0
74,EUU,European Union,,
75,FIN,Finland,4.0,1.0
76,FJI,Fiji,5.0,4.0
77,FRA,France,4.0,1.0
78,FRO,Faroe Islands,4.0,1.0
79,FSM,"Micronesia, Fed. Sts.",5.0,4.0
80,GAB,Gabon,3.0,4.0
81,GBR,United Kingdom,4.0,1.0
82,GEO,Georgia,4.0,4.0
83,GHA,Ghana,3.0,3.0
84,GIB,Gibraltar,4.0,1.0
85,GIN,Guinea,3.0,3.0
86,GMB,"Gambia, The",3.0,2.0
87,GNB,Guinea-Bissau,3.0,2.0
88,GNQ,Equatorial Guinea,3.0,4.0
89,GRC,Greece,4.0,1.0
90,GRD,Grenada,1.0,4.0
91,GRL,Greenland,4.0,1.0
92,GTM,Guatemala,1.0,4.0
93,GUM,Guam,5.0,1.0
94,GUY,Guyana,1.0,1.0
95,HIC,High income,,
96,HKG,"Hong Kong SAR, China",5.0,1.0
97,HND,Honduras,1.0,3.0
98,HPC,Heavily indebted poor countries (HIPC),,
99,HRV,Croatia,4.0,1.0
100,HTI,Haiti,1.0,3.0
101,HUN,Hungary,4.0,1.0
102,IBD,IBRD only,,
103,IBT,IDA & IBRD total,,
104,IDA,IDA total,,
105,IDB,IDA blend,,
106,IDN,Indonesia,5.0,4.0
107,IDX,IDA only,,
108,IMN,Isle of Man,4.0,1.0
109,IND,India,6.0,3.0
110,IRL,Ireland,4.0,1.0
